entity_name,region,value,gender
Tuvalu,Oceania,9646,total
Uganda,Africa,24805126,male
Uganda,Africa,25209966,female
Uganda,Africa,50015092,total
Ukraine,Europe,17598051,male
Ukraine,Europe,20262170,female
Ukraine,Europe,37860221,total
United Arab Emirates,Asia,7020466,male
United Arab Emirates,Asia,3965934,female
United Arab Emirates,Asia,10986400,total
United Kingdom,Europe,34087728,male
United Kingdom,Europe,35138272,female
United Kingdom,Europe,69226000,total
United States,Americas,170880836,male
United States,Americas,169230152,female
United States,Americas,340110988,total
Uruguay,Americas,1642560,male
Uruguay,Americas,1744028,female
Uruguay,Americas,3386588,total
Uzbekistan,Asia,18343712,male
Uzbekistan,Asia,18018147,female
Uzbekistan,Asia,36361859,total
Vanuatu,Oceania,165465,male
Vanuatu,Oceania,162312,female
Vanuatu,Oceania,327777,total
"Venezuela, RB",Americas,14033859,male
"Venezuela, RB",Americas,14371684,female
"Venezuela, RB",Americas,28405543,total
Viet Nam,Asia,49461399,male
Viet Nam,Asia,51526287,female
Viet Nam,Asia,100987686,total
Virgin Islands (U.S.),Americas,49687,male
Virgin Islands (U.S.),Americas,54690,female
Virgin Islands (U.S.),Americas,104377,total
"Yemen, Rep.",Asia,20558038,male
"Yemen, Rep.",Asia,20025126,female
"Yemen, Rep.",Asia,40583164,total
Zambia,Africa,10550240,male
Zambia,Africa,10764716,female
Zambia,Africa,21314956,total
Zimbabwe,Africa,7929088,male
Zimbabwe,Africa,8705285,female
Zimbabwe,Africa,16634373,total
